0	0.858	0.5867	0.1186	0.5804	0.1173	0.579	0.0294	0.4106	0.6165	0.6991	0.0364	0.5411	0.6501	0.5524	0.9131	0.0329	0.0207	0.7753	0.828	0.1894	0.9312	0.7645	0.9782	0.5926	0.4064	0.5803	0.5293	0.5329	0.4914	0.6975	0.0969	0.9951	0.6862	0.7617	0.3499	0.9293	0.7239	0.1839	0.5467	0.2523	0.2617	0.8123	0.9283	0.1823	0.8401	0.2193	0.0025	0.4235	0.1506	0.1842	0.4622	0.1727	0.3997	0.1049	0.4084	0.4312	0.9892	0.3641	0.6628	0.7871	0.4533	0.3649	0.7539	0.7161	0.6592	0.5249	0.3687	0.8615	0.7094	0.8807	0.6174	0.0156	0.2977	0.4978	0.9432	0.2742	0.7168	0.1231	0.2065	0.3404	0.0272	0.5069	0.7443	0.112	0.1617	0.9907	0.1257	0.864	0.5699	0.2146	0.2725	0.3809	0.7354	0.1293	0.682	0.0518	0.6608	0.8635	0.5686	
0.858	0	0.5513	0.6721	0.3539	0.4926	0.6627	0.6127	0.0044	0.5714	0.6643	0.7469	0.3717	0.7504	0.8148	0.4725	0.0885	0.3431	0.232	0.6115	0.6879	0.8944	0.2153	0.1846	0.6278	0.9495	0.7619	0.5656	0.4331	0.2548	0.4156	0.0774	0.9999	0.8196	0.2714	0.2399	0.6306	0.6651	0.9533	0.6252	0.0649	0.8021	0.0013	0.6031	0.6587	0.5627	0.8626	0.6405	0.4743	0.3357	0.3662	0.621	0.7086	0.0966	0.6392	0.8595	0.203	0.4391	0.6348	0.0354	0.9656	0.0619	0.5531	0.8132	0.0616	0.7135	0.0512	0.5354	0.8561	0.8029	0.1407	0.5076	0.9892	0.5957	0.0877	0.5	0.0005	0.4181	0.0048	0.1588	0.2048	0.7603	0.1333	0.8306	0.501	0.2436	0.7178	0.9241	0.4908	0.9548	0.1133	0.3224	0.8334	0.1347	0.5854	0.129	0.3346	0.5996	0.9057	0.2687	
0.5867	0.5513	0	0.4261	0.3729	0.3583	0.0935	0.5504	0.8926	0.665	0.6264	0.6681	0.3195	0.2052	0.3758	0.1895	0.4182	0.5518	0.2479	0.5806	0.5312	0.2781	0.7712	0.9969	0.5345	0.7879	0.5345	0.2222	0.6435	0.4468	0.2749	0.5605	0.3778	0.1541	0.682	0.5373	0.1126	0.623	0.411	0.8467	0.8924	0.7967	0.7828	0.5293	0.7964	0.4091	0.7784	0.0712	0.2309	0.2808	0.519	0.9266	0.9201	0.2603	0.0739	0.9763	0.8765	0.3934	0.5977	0.2708	0.9677	0.7542	0.0546	0.8905	0.582	0.9763	0.0744	0.5948	0.5311	0.7408	0.2756	0.3292	0.138	0.1036	0.1649	0.6261	0.5869	0.564	0.0113	0.5996	0.3492	0.7797	0.7911	0.321	0.9745	0.9511	0.2146	0.9625	0.1249	0.0898	0.5034	0.9851	0.6297	0.2103	0.5738	0.498	0.5595	0.2914	0.2442	0.0549	
0.1186	0.6721	0.4261	0	0.0832	0.8311	0.7424	0.7005	0.0837	0.7651	0.2088	0.0937	0.199	0.538	0.1968	0.96	0.8945	0.2399	0.58	0.7488	0.6584	0.578	0.6981	0.994	0.8288	0.1049	0.9159	0.537	0.4506	0.8458	0.364	0.4036	0.6888	0.6387	0.4367	0.0523	0.9511	0.7805	0.9513	0.4754	0.6583	0.5766	0.5789	0.9651	0.3229	0.8832	0.8821	0.3034	0.1814	0.0984	0.0346	0.3199	0.5969	0.4687	0.4353	0.0183	0.6613	0.2865	0.7672	0.0534	0.7395	0.3638	0.7125	0.3787	0.9858	0.1612	0.0707	0.2551	0.2873	0.5029	0.7297	0.9679	0.5071	0.4262	0.5378	0.0642	0.2357	0.1746	0.9842	0.9034	0.8778	0.6733	0.5527	0.3159	0.9029	0.6797	0.9189	0.9305	0.7247	0.5895	0.3723	0.2097	0.7538	0.6008	0.1102	0.3507	0.9009	0.5259	0.4853	0.8434	
0.5804	0.3539	0.3729	0.0832	0	0.3729	0.0352	0.7579	0.319	0.5813	0.8681	0.1156	0.6244	0.4361	0.0758	0.0779	0.971	0.5465	0.1905	0.4622	0.9447	0.1369	0.3285	0.9794	0.6693	0.4464	0.7641	0.0913	0.4087	0.0475	0.9877	0.861	0.7072	0.6406	0.3008	0.1346	0.6524	0.3554	0.9902	0.3513	0.1008	0.6492	0.5166	0.117	0.1513	0.3439	0.6747	0.2487	0.0399	0.2124	0.7017	0.1405	0.7614	0.6358	0.3494	0.003	0.8291	0.4836	0.9666	0.2582	0.1401	0.8575	0.0022	0.5713	0.9682	0.9623	0.7248	0.8616	0.388	0.3588	0.5044	0.9048	0.3754	0.5553	0.0694	0.95	0.7805	0.8081	0.338	0.6494	0.1556	0.7011	0.8131	0.1347	0.5959	0.544	0.184	0.6423	0.9011	0.8999	0.9494	0.6886	0.3858	0.3542	0.7768	0.535	0.2809	0.144	0.701	0.146	
0.1173	0.4926	0.3583	0.8311	0.3729	0	0.5082	0.4695	0.1133	0.234	0.0782	0.2688	0.2909	0.1089	0.1816	0.0142	0.9385	0.2891	0.8877	0.3343	0.9656	0.2139	0.6951	0.039	0.8301	0.2459	0.4281	0.9091	0.4475	0.9872	0.0977	0.4509	0.4217	0.7301	0.2407	0.5169	0.1126	0.6979	0.5023	0.3592	0.2459	0.6841	0.7521	0.4743	0.3686	0.0945	0.0622	0.1959	0.0418	0.6901	0.4401	0.9831	0.0535	0.9774	0.0747	0.6758	0.8541	0.9722	0.7725	0.9406	0.7854	0.2741	0.1695	0.5183	0.1614	0.7398	0.3415	0.339	0.5328	0.641	0.0816	0.7348	0.6923	0.7005	0.2355	0.2314	0.3757	0.0552	0.0796	0.7246	0.4212	0.937	0.0935	0.2907	0.4468	0.1549	0.8469	0.8439	0.1496	0.0214	0.6121	0.7154	0.4803	0.1466	0.769	0.2456	0.0685	0.4152	0.7292	0.015	
0.579	0.6627	0.0935	0.7424	0.0352	0.5082	0	0.0609	0.4108	0.3502	0.8943	0.7138	0.161	0.6823	0.9955	0.3131	0.0569	0.79	0.5767	0.6451	0.3636	0.8131	0.8431	0.0294	0.1145	0.8314	0.6799	0.3704	0.6369	0.0113	0.4015	0.3618	0.4657	0.0752	0.7409	0.7696	0.8292	0.8981	0.1837	0.5311	0.4417	0.7031	0.9438	0.6186	0.3939	0.5185	0.7115	0.0051	0.9607	0.3442	0.1968	0.3829	0.5401	0.5464	0.9743	0.5237	0.5894	0.7404	0.1822	0.6151	0.6877	0.5006	0.1858	0.1907	0.6164	0.2645	0.605	0.6757	0.1783	0.8302	0.2586	0.7383	0.2831	0.8888	0.4296	0.2752	0.9592	0.0232	0.5009	0.3968	0.7773	0.306	0.2502	0.4146	0.897	0.9284	0.8695	0.7802	0.0387	0.5213	0.3066	0.0023	0.0164	0.031	0.1583	0.879	0.6937	0.6692	0.8113	0.4398	
0.0294	0.6127	0.5504	0.7005	0.7579	0.4695	0.0609	0	0.6971	0.945	0.7057	0.1191	0.2629	0.7325	0.6076	0.5507	0.3201	0.6208	0.0736	0.4521	0.7101	0.4318	0.538	0.6224	0.3951	0.1274	0.3651	0.9547	0.0376	0.7442	0.5671	0.1922	0.2052	0.3939	0.5878	0.0306	0.636	0.8632	0.0996	0.775	0.4664	0.3555	0.9791	0.8756	0.436	0.1732	0.7443	0.2022	0.7599	0.4517	0.3946	0.4538	0.1203	0.5674	0.5945	0.0209	0.2615	0.4216	0.8692	0.3968	0.3099	0.6328	0.1361	0.5114	0.0754	0.6213	0.1123	0.6469	0.0806	0.5813	0.7306	0.4157	0.1095	0.3867	0.2879	0.0226	0.9831	0.5103	0.0837	0.5344	0.5598	0.8766	0.5445	0.7101	0.4584	0.4293	0.9445	0.2351	0.9829	0.7654	0.6519	0.8664	0.2289	0.314	0.41	0.4842	0.1954	0.2616	0.1712	0.8066	
0.4106	0.0044	0.8926	0.0837	0.319	0.1133	0.4108	0.6971	0	0.8416	0.8741	0.2725	0.9319	0.2881	0.4915	0.6466	0.301	0.1667	0.9561	0.117	0.1909	0.7826	0.7445	0.9425	0.84	0.7555	0.323	0.272	0.3872	0.2357	0.0409	0.8476	0.2505	0.5745	0.9162	0.0175	0.0037	0.4931	0.8396	0.88	0.8997	0.1574	0.3361	0.9458	0.9932	0.5149	0.8283	0.4745	0.8414	0.0552	0.4257	0.3716	0.944	0.3403	0.1005	0.9632	0.5585	0.1298	0.2866	0.699	0.1216	0.9869	0.498	0.5235	0.6114	0.6252	0.9738	0.0184	0.5348	0.8127	0.7969	0.8285	0.7881	0.515	0.74	0.4615	0.2708	0.1083	0.1626	0.651	0.0058	0.0444	0.7788	0.694	0.4428	0.7675	0.8277	0.0952	0.3767	0.1422	0.8194	0.0775	0.5667	0.3597	0.0519	0.0605	0.5073	0.9164	0.4287	0.3168	
0.6165	0.5714	0.665	0.7651	0.5813	0.234	0.3502	0.945	0.8416	0	0.1599	0.3316	0.7184	0.9124	0.7922	0.4831	0.8659	0.3303	0.1385	0.4571	0.061	0.1593	0.2017	0.2035	0.8152	0.2579	0.0924	0.4168	0.879	0.4237	0.4924	0.095	0.4255	0.0805	0.1844	0.1838	0.7669	0.6608	0.6275	0.526	0.6919	0.6211	0.2356	0.5036	0.2606	0.2917	0.6267	0.6128	0.5525	0.3055	0.6231	0.2068	0.3259	0.0695	0.3865	0.7202	0.8811	0.7048	0.8991	0.9129	0.1021	0.4001	0.6603	0.6307	0.0746	0.4256	0.1929	0.3369	0.4711	0.1227	0.2366	0.1712	0.8222	0.1851	0.8013	0.899	0.7534	0.819	0.8836	0.7583	0.7541	0.4723	0.5709	0.2799	0.9385	0.3773	0.7344	0.4913	0.8115	0.8531	0.9435	0.7265	0.6106	0.9755	0.4174	0.3963	0.8173	0.7096	0.1623	0.7026	
